STEPS	TIME[ms]	ERROR
9180	6451.827	0.0
11480	7461.395	0.0
11640	7956.981	0.0
10460	7213.937	0.0
13200	8721.862	0.0
12800	9097.559	0.0
12260	8351.546	0.0
9600	6441.96	0.0
9560	6378.515	0.0
10340	6697.751	0.0
8600	5533.946	0.0
7620	4897.942	0.0
10140	6610.524	0.0
8840	5660.358	0.0
12620	8129.269	0.0
9960	6516.606	0.0
9820	7173.037	0.0
10500	6884.934	0.0
10500	7248.54	0.0
11080	7232.801	0.0
11540	7517.523	0.0
8600	5677.589	0.0
11860	7621.562	0.0
10980	7029.519	0.0
9260	6009.325	0.0
11580	7444.752	0.0009256719692814043
11720	7560.852	0.0
10280	6489.137	0.0
11340	7225.489	0.0
10260	6735.11	0.0
9760	6173.871	0.0
10880	7026.859	0.0
10980	6968.253	0.0
11140	7162.442	0.0
10600	6874.424	0.0
9320	6046.888	0.0
10780	6936.674	0.0
8440	5463.856	0.0
9840	6384.728	0.0
11280	7286.35	0.0
9200	5807.454	0.0
10280	6625.908	0.0
10080	6779.476	0.0
9460	6064.072	0.0
11320	7328.424	0.0
9160	6251.96	0.0
8460	5536.371	0.0
10140	6534.325	0.0
10360	6662.745	0.0
10140	6412.644	0.0
10900	7105.926	0.0
11280	7373.846	0.0
12360	7901.208	0.0
11020	6934.688	0.0
9700	6324.224	0.0
6980	4563.569	0.002704987320371936
8600	5478.761	0.0
11860	7515.675	0.0
11220	7197.977	0.0
10520	6784.601	0.0
8880	5728.63	0.0
11040	7023.549	0.0
9780	6356.897	0.0
10480	6679.739	0.0
11140	7212.696	0.0
8800	5608.746	0.0
10500	6699.729	0.0
12000	7561.966	0.0
9860	6363.266	0.0
10080	6795.576	0.0
10460	6635.049	0.0
10560	6766.348	0.0
10340	6629.103	0.0
8320	5342.899	0.0
12360	8007.927	0.0
11940	7630.386	0.0003959825767666223
8780	5995.644	0.0
11980	8594.317	0.0
10340	7186.115	0.0
9180	6048.498	0.0
9800	6410.494	0.0
11740	7957.016	0.0
8220	5337.87	0.0
10740	6896.13	0.0
9740	6255.147	0.0
10300	6551.569	0.0
11700	7790.857	0.0
12820	8761.615	0.0
9360	6686.885	0.0
8780	5799.989	0.0
12340	8399.558	0.0
11320	7392.137	0.0
