STEPS	TIME[ms]	ERROR
69575	46873.985	0.0
88900	58718.239	0.0
85075	58501.244	0.0
79850	56165.86	0.0
77325	51303.39	0.0
82250	53083.476	0.0
73625	47638.978	0.0
79425	51746.219	0.0
72425	46715.844	0.0
69225	44467.28	0.0
90500	58597.656	0.0
86225	54923.423	0.0
76200	51437.052	0.0
89100	58526.834	0.0
76375	50185.105	0.0
91925	58796.42	0.0
96150	66119.809	0.0
70500	45550.155	0.0
85450	54089.014	0.0
84050	53731.567	0.0
76300	50184.751	0.0
88050	57006.413	0.0
80125	53077.642	0.0
73875	47839.636	0.0
72900	46400.948	0.0
89875	57840.78	8.62738331464067e-05
77025	51751.299	0.0
76350	52762.815	0.0
85375	57295.7	0.0
73600	49372.905	0.0
96925	64231.18	0.0
79225	53533.195	0.0
73750	48323.918	0.0
81475	53296.939	0.0
90450	57849.871	0.0
62325	40122.116	0.0
79800	50989.262	0.0
91125	58474.446	0.0
82300	52295.712	0.0
72175	46707.263	0.0
78175	50263.299	0.0
88625	58020.421	0.0
87150	56221.111	0.0
80250	51569.778	0.0
81725	55183.889	0.0
71700	49174.02	0.0
79650	51434.495	0.0
82000	52837.65	0.0
71500	49172.518	0.0
91325	59338.119	0.0
69275	44732.74	0.0
80125	52619.504	0.0
80375	51944.925	0.0
91700	58900.563	0.0
75225	48402.753	0.0
69150	44191.942	0.0
77250	49340.108	0.0
87800	56195.019	0.0
75825	48366.678	0.0
65825	42536.069	0.0
78050	49655.443	0.0
116050	76497.536	0.0
64975	41302.593	0.0
75675	48406.439	0.0
80125	51047.514	0.0
90450	58248.415	0.0
62200	39981.094	0.0
80900	51822.607	0.0
86375	55093.398	0.0
83975	53965.827	0.0
88200	57475.048	0.0
73925	47616.857	0.0
90300	58614.015	0.0
90450	58470.598	0.0
87675	56191.744	0.0
82650	53141.686	0.0
77650	49287.863	0.0
92050	59184.684	0.0
75525	48749.532	0.0
93075	59045.419	0.0
86600	59497.525	0.0
81775	51926.328	0.0
80750	51588.306	0.0
78950	51199.677	0.0
83175	53147.535	0.0
62350	39971.455	0.0
69325	43941.87	0.0
81150	51780.877	0.0
83950	54166.124	0.0
75900	52378.75	0.0
70025	45209.717	0.0
76925	48819.508	0.0
88675	56968.534	0.0
78775	50651.238	0.0
73525	47903.861	0.0
72450	46292.558	0.0
82300	52923.356	0.0
80850	52085.588	0.0
88625	56809.981	0.0
82150	54022.697	0.0
53350	34057.211	0.0
83575	53655.045	0.0
78275	50452.316	0.0
75150	48623.529	0.0
73175	46300.407	0.0
76050	48843.905	0.0
80950	51903.19	0.0
70525	45052.558	0.0
68225	44198.922	0.0
84650	54763.767	0.0
80600	52307.17	0.0
75100	48347.897	0.0
70250	44393.766	0.0
77425	49750.804	0.0
91775	63040.487	0.0
70900	45443.293	0.0
73825	48042.78	0.0
67600	43867.998	0.0
70250	46086.99	0.0
83925	55476.999	0.0
74200	49093.435	0.0
91800	59042.614	0.0
68575	44129.936	0.0
80750	52536.729	0.0
75000	48015.57	0.0
85300	54649.514	6.192909119058678e-05
77700	49358.108	0.0
80800	51961.254	0.0
86375	55866.814	0.0
91200	59985.144	0.0
99550	65157.604	0.0
65350	41653.582	0.0
84600	53992.34	0.0
87125	56051.702	0.0
87675	55881.435	0.0
72725	46443.32	0.0
85950	58953.044	0.0
69175	47112.171	0.0
76575	52029.49	0.0
78975	53336.045	0.0
80075	53087.57	0.0
86700	57475.513	0.0
75675	50696.217	0.0
64125	41839.197	0.0
68050	43918.803	0.0
84650	54101.853	0.0
79050	50948.953	0.0
72800	46621.281	0.0
60000	38199.689	0.0
100450	68692.409	0.0
93125	59437.509	0.0
92600	59017.786	0.0
76550	49768.007	0.0
81375	51804.395	0.0
94075	59689.491	0.0
73300	47175.386	0.0
74300	47621.39	0.0
61775	39803.406	0.0
90525	58083.392	0.0
86875	55391.505	0.0
73050	46645.805	0.0
87150	55471.358	0.0
88725	57382.917	0.0
85000	54783.313	0.0
86475	54825.287	0.0
92950	59795.678	0.0
72225	47083.712	0.0
88675	58145.738	0.0
76800	49929.296	0.0
96550	61182.055	0.0
83925	53814.891	0.0
80300	51664.321	0.0
77475	49679.52	0.0
79125	50012.88	0.0
86600	55520.391	0.0
82325	52409.563	0.0
79150	50729.603	0.0
66175	44604.5	0.0
97900	62865.64	0.0
79575	51095.198	0.0
90725	61611.773	0.0
70225	45068.79	0.0
