STEPS	TIME[ms]	ERROR
279	1152.661	0.0
238	799.683	0.0
158	549.918	0.0
40	129.915	0.0
588	2471.459	0.0
23	93.876	0.0
810	2927.326	0.0
525	1936.083	0.0
555	2008.208	0.0
366	1409.944	0.0
42	133.478	0.0
159	477.706	0.0
837	3045.29	0.0
490	1628.893	0.0
17	70.764	0.0
90	287.257	0.0
34	120.916	0.0
186	576.656	0.0
669	2572.338	0.0
235	825.269	0.0
372	1364.862	0.0
193	587.674	0.0
417	1258.01	0.0
144	467.844	0.0
90	298.389	0.0
262	835.674	0.0
76	230.306	0.0
131	470.891	0.0
1015	3490.467	0.0
144	526.327	0.0
149	528.106	0.0
74	225.875	0.0
15	59.36	0.0
172	496.449	0.0
229	633.579	0.0
30	98.145	0.0
99	324.419	0.0
24	84.429	0.0
116	353.174	0.0
237	775.621	0.0
473	1686.569	0.0
47	144.601	0.0
436	1583.407	0.0
48	157.525	0.0
82	245.946	0.0
448	1649.75	0.0
944	3391.475	0.0
50	182.018	0.0
268	800.222	0.0
71	257.701	0.0
784	2695.955	0.0
131	425.753	0.0
212	673.89	0.0
42	139.877	0.0
217	738.313	0.0
146	492.086	0.0
240	768.156	0.0
28	113.074	0.0
15	74.557	0.0
70	219.244	0.0
560	1983.683	0.0
528	1946.326	0.0
22	79.396	0.0
69	231.131	0.0
173	532.789	0.0
31	117.519	0.0
84	278.311	0.0
204	621.124	0.0
79	219.864	0.0
213	707.816	0.0
54	161.438	0.0
129	419.86	0.0
164	496.903	0.0
31	111.095	0.0
33	105.288	0.0
430	1660.836	0.0
19	84.782	0.0
563	2031.079	0.0
384	1466.202	0.0
51	155.066	0.0
270	908.624	0.0
705	2412.111	0.0
334	1249.392	0.0
706	2423.956	0.0
34	130.848	0.0
19	74.752	0.0
59	254.425	0.0
364	1344.315	0.0
269	1001.333	0.0
65	214.911	0.0
27	103.95	0.0
176	667.963	0.0
43	145.799	0.0
331	1026.52	0.0
262	867.967	0.0
406	1127.627	0.0
88	281.448	0.0
55	166.004	0.0
452	1439.132	0.0
198	643.818	0.0
596	1989.536	0.0
1907	6453.596	0.0
102	313.05	0.0
540	1761.219	0.0
171	566.428	0.0
42	134.675	0.0
15	61.016	0.0
471	1720.997	0.0
142	390.567	0.0
213	641.351	0.0
764	2570.265	0.0
216	730.22	0.0
471	1514.599	0.0
334	1225.73	0.0
267	1027.102	0.0
310	906.2	0.0
125	372.188	0.0
246	942.56	0.0
50	148.7	0.0
217	708.948	0.0
418	1392.708	0.0
15	61.222	0.0
26	101.458	0.0
333	1247.289	0.0
216	793.142	0.0
97	311.536	0.0
434	1554.097	0.0
159	550.207	0.0
81	259.238	0.0
281	907.308	0.0
42	130.865	0.0
196	592.722	0.0
262	860.003	0.0
16	62.637	0.0
186	611.505	0.0
343	1261.241	0.0
8	37.586	0.0
206	762.558	0.0
134	438.282	0.0
19	68.96	0.0
41	139.365	0.0
103	339.823	0.0
30	99.597	0.0
207	592.154	0.0
242	879.814	0.0
467	1550.706	0.0
440	1429.129	0.0
358	1285.208	0.0
83	261.673	0.0
323	1448.784	0.0
15	67.812	0.0
66	204.912	0.0
90	323.065	0.0
185	523.315	0.0
22	82.502	0.0
415	1434.83	0.0
516	1790.41	0.0
82	251.613	0.0
58	230.33	0.0
388	1340.36	0.0
113	332.354	0.0
101	303.977	0.0
46	143.967	0.0
53	156.64	0.0
156	513.672	0.0
43	133.734	0.0
726	2531.686	0.0
19	107.336	0.0
257	861.012	0.0
224	754.715	0.0
27	98.349	0.0
216	840.029	0.0
535	1827.143	0.0
454	1463.256	0.0
256	830.132	0.0
761	2228.5	0.0
50	152.292	0.0
392	1412.56	0.0
48	163.22	0.0
653	2097.666	0.0
93	259.904	0.0
301	918.537	0.0
36	130.64	0.0
399	1169.206	0.0
84	245.104	0.0
320	1185.598	0.0
97	274.815	0.0
259	1032.904	0.0
604	2417.501	0.0
186	787.641	0.0
141	529.157	0.0
95	330.023	0.0
444	1451.356	0.0
219	875.701	0.0
1114	3477.949	0.0
157	536.004	0.0
30	101.036	0.0
26	93.192	0.0
320	1292.3	0.0
945	3356.45	0.0
72	248.531	0.0
64	238.773	0.0
317	1129.278	0.0
898	3082.456	0.0
181	641.956	0.0
211	667.279	0.0
75	254.368	0.0
132	421.033	0.0
146	407.324	0.0
20	74.383	0.0
96	307.249	0.0
88	272.148	0.0
82	263.26	0.0
442	1521.854	0.0
245	767.759	0.0
401	1285.736	0.0
102	302.102	0.0
62	180.262	0.0
743	2270.34	0.0
636	2235.769	0.0
781	2709.682	0.0
320	1140.636	0.0
94	396.189	0.0
16	64.28	0.0
432	1522.916	0.0
333	1224.138	0.0
172	700.78	0.0
93	291.509	0.0
113	447.562	0.0
15	61.021	0.0
54	169.513	0.0
236	781.184	0.0
268	874.282	0.0
190	699.315	0.0
112	323.214	0.0
425	1550.465	0.0
15	61.137	0.0
326	1223.509	0.0
16	65.756	0.0
172	528.945	0.0
34	119.652	0.0
20	100.907	0.0
211	635.461	0.0
75	307.004	0.0
182	697.289	0.0
1198	3883.807	0.0
81	246.933	0.0
592	2100.406	0.0
378	1323.758	0.0
380	1473.424	0.0
512	1890.204	0.0
183	563.616	0.0
255	872.495	0.0
72	228.289	0.0
275	868.596	0.0
704	2282.773	0.0
296	988.157	0.0
411	1415.507	0.0
183	545.907	0.0
34	123.798	0.0
1054	3666.334	0.0
16	64.422	0.0
288	857.633	0.0
62	216.5	0.0
96	301.002	0.0
551	2101.541	0.0
57	183.325	0.0
88	257.536	0.0
254	848.223	0.0
825	2852.017	0.0
359	1358.387	0.0
340	1293.235	0.0
304	1163.743	0.0
22	82.274	0.0
81	256.441	0.0
582	2052.787	0.0
348	1259.513	0.0
194	652.668	0.0
46	162.398	0.0
453	1589.478	0.0
1149	3893.315	0.0
304	953.37	0.0
170	499.939	0.0
190	617.716	0.0
36	125.758	0.0
579	2063.156	0.0
560	1980.869	0.0
531	1913.92	0.0
413	1470.873	0.0
1493	5182.984	0.0
16	66.634	0.0
193	801.448	0.0
1018	3417.627	0.0
446	1567.254	0.0
1236	4213.278	0.0
26	109.778	0.0
141	397.064	0.0
404	1454.674	0.0
190	705.683	0.0
45	203.024	0.0
95	301.881	0.0
29	106.213	0.0
15	60.428	0.0
589	1759.059	0.0
556	1992.01	0.0
430	1531.108	0.0
81	243.253	0.0
1318	4494.205	0.0
135	533.098	0.0
119	360.515	0.0
815	2654.302	0.0
162	484.76	0.0
58	205.936	0.0
248	873.935	0.0
148	414.976	0.0
10	44.082	0.0
116	340.104	0.0
368	1155.38	0.0
33	143.821	0.0
117	350.56	0.0
202	665.168	0.0
367	1386.18	0.0
144	435.355	0.0
266	1010.326	0.0
123	348.787	0.0
309	950.644	0.0
214	698.956	0.0
361	1386.643	0.0
134	431.511	0.0
28	97.192	0.0
366	1086.05	0.0
