STEPS	TIME[ms]	ERROR
235	80.903	0.0
660	268.386	0.0
115	35.793	0.0
465	194.676	0.0
1220	493.578	0.0
60	23.416	0.0
2160	1047.397	0.0
755	273.515	0.0
1825	759.873	0.0
830	247.558	0.0
1690	681.66	0.0
470	171.832	0.0
1815	796.495	0.0
1175	458.24	0.0
1725	700.836	0.0
1045	390.445	0.0
175	53.826	0.0
515	163.88	0.0
2095	863.717	0.0
2290	1042.865	0.0
270	89.53	0.0
710	204.385	0.0
955	411.904	0.0
1180	483.699	0.0
2865	1232.802	0.0
1090	406.401	0.0
1400	539.268	0.0
535	171.007	0.0
1100	417.9	0.0
2880	1249.386	0.0
1590	735.706	0.0
2370	1061.52	0.0
570	224.663	0.0
690	285.068	0.0
325	143.699	0.0
450	213.073	0.0
45	22.878	0.0
585	278.608	0.0
1405	612.283	0.0
1315	554.125	0.0
330	116.5	0.0
1040	387.308	0.0
825	295.093	0.0
1165	514.086	0.0
1800	837.197	0.0
585	215.867	0.0
1255	515.281	0.0
315	120.866	0.0
230	65.583	0.0
380	136.804	0.0
80	26.914	0.0
1355	579.133	0.0
1065	385.572	0.0
1050	360.541	0.0
2020	907.625	0.0
1350	545.056	0.0
1580	655.561	0.0
590	178.826	0.0
1535	673.722	0.0
1355	520.128	0.0
185	54.342	0.0
1615	644.649	0.0
220	102.463	0.0
1560	671.281	0.0
2050	874.786	0.0
670	319.507	0.0
1830	715.687	0.0
2745	1222.364	0.0
175	50.398	0.0
2205	986.064	0.0
900	295.9	0.0
1770	725.657	0.0
1130	406.455	0.0
35	15.394	0.0
1300	521.388	0.0
1145	479.152	0.0
1940	854.943	0.0
2160	908.533	0.0
850	333.308	0.0
660	213.328	0.0
1325	562.842	0.0
2690	1265.371	0.0
150	50.409	0.0
220	73.75	0.0
1845	873.83	0.0
780	304.944	0.0
1095	419.737	0.0
875	302.033	0.0
1225	445.576	0.0
710	301.421	0.0
1800	928.961	0.0
2400	1320.195	0.0
655	206.775	0.0
1225	483.129	0.0
3690	1711.043	0.0
2185	930.141	0.0
785	277.887	0.0
1420	549.426	0.0
430	203.884	0.0
40	20.021	0.0
2475	1367.671	0.0
740	411.819	0.0
205	90.09	0.0
1575	873.391	0.0
