STEPS	TIME[ms]	ERROR
2007	6916.914	0.0
389	1243.141	0.0
1650	6555.839	0.0
454	1527.438	0.0
387	1158.275	0.0
2532	9990.284	0.0
4842	21142.749	0.0
1505	5756.699	0.0
169	744.582	0.0
9305	36304.74	0.0
879	3095.631	0.0
966	3941.756	0.0
118	601.684	0.0
158	569.634	0.0
2787	11835.358	0.0
59	211.928	0.0
1019	3568.15	0.0
2947	11999.473	0.0
2634	10747.146	0.0
6699	26200.297	0.0
150	436.661	0.0
567	2227.684	0.0
3152	12857.031	0.0
1993	7096.632	0.0
1768	7341.376	0.0
2006	8484.631	0.0
3958	16515.162	0.0
65	200.169	0.0
773	2415.502	0.0
59	199.064	0.0
3232	13072.336	0.0
1814	6060.322	0.0
2678	9294.763	0.0
3210	12428.849	0.0
2728	8893.626	0.0
480	1762.096	0.0
4432	18688.689	0.0
408	1814.445	0.0
428	1214.653	0.0
73	224.426	0.0
3326	13723.752	0.0
347	993.933	0.0
806	2476.888	0.0
1274	5175.688	0.0
276	814.62	0.0
340	1124.899	0.0
666	2972.508	0.0
1646	7026.3	0.0
500	1613.763	0.0
2797	11698.958	0.0
59	182.835	0.0
220	652.267	0.0
7788	31198.42	0.0
1064	3215.796	0.0
1459	5631.973	0.0
1151	8383.237	0.0
298	979.984	0.0
2558	9787.247	0.0
6890	27281.833	0.0
2345	9173.259	0.0
2264	9330.514	0.0
9806	37076.067	0.0
367	1322.145	0.0
762	2524.388	0.0
291	896.803	0.0
582	1784.952	0.0
1410	6589.291	0.0
4494	19077.517	0.0
756	2967.859	0.0
23	122.258	0.0
2051	8893.715	0.0
1999	6942.876	0.0
1860	7823.279	0.0
1690	6755.286	0.0
30	132.008	0.0
2483	11068.45	0.0
869	3666.877	0.0
84	267.475	0.0
4223	17156.091	0.0
3941	15826.487	0.0
4429	17410.612	0.0
32	114.702	0.0
31	111.349	0.0
136	389.452	0.0
3357	14161.247	0.0
1030	3880.793	0.0
30	110.466	0.0
4176	18286.709	0.0
153	474.118	0.0
4127	17720.753	0.0
1255	4435.376	0.0
262	819.054	0.0
28	112.069	0.0
81	271.079	0.0
1775	7713.369	0.0
242	805.775	0.0
2004	8494.943	0.0
3013	11699.063	0.0
2746	9986.657	0.0
98	292.222	0.0
71	218.346	0.0
238	656.968	0.0
1968	8220.503	0.0
2960	12556.956	0.0
641	1973.638	0.0
10728	38739.751	0.0
40	163.025	0.0
2102	7697.291	0.0
317	969.598	0.0
2129	8952.668	0.0
43	151.782	0.0
60	215.022	0.0
1163	3866.85	0.0
137	426.643	0.0
838	2527.788	0.0
3092	12943.437	0.0
77	262.604	0.0
21	84.09	0.0
33	122.29	0.0
4047	16371.896	0.0
44	151.265	0.0
1227	4322.964	0.0
1040	3399.332	0.0
200	655.066	0.0
150	485.882	0.0
576	2300.051	0.0
2196	7740.994	0.0
374	1198.989	0.0
886	3588.765	0.0
147	453.448	0.0
2626	9979.476	0.0
213	685.268	0.0
1256	5571.114	0.0
534	1996.171	0.0
1580	6770.157	0.0
663	2035.804	0.0
5239	17753.541	0.0
3954	16070.12	0.0
1239	5467.938	0.0
72	259.071	0.0
24	93.295	0.0
101	303.998	0.0
3586	16184.659	0.0
52	217.761	0.0
2003	8389.562	0.0
554	1921.922	0.0
43	141.811	0.0
416	1890.599	0.0
1398	6177.122	0.0
592	2150.526	0.0
951	3896.698	0.0
5	39.817	0.0
80	269.657	0.0
2815	11847.38	0.0
919	3343.885	0.0
60	208.829	0.0
771	3449.804	0.0
134	452.722	0.0
1441	6333.582	0.0
1609	5681.979	0.0
37	126.019	0.0
2770	12319.952	0.0
2207	8537.45	0.0
55	179.194	0.0
78	247.759	0.0
351	1148.492	0.0
752	2204.083	0.0
1848	7494.601	0.0
40	134.478	0.0
547	1725.17	0.0
5622	26768.57	0.0
3957	14619.45	0.0
879	4332.429	0.0
217	650.048	0.0
1677	6584.029	0.0
840	2705.053	0.0
42	142.427	0.0
22	91.085	0.0
135	407.346	0.0
66	212.002	0.0
230	716.75	0.0
2383	8226.074	0.0
168	489.999	0.0
5123	20446.175	0.0
2638	9020.118	0.0
14291	49899.721	0.0
204	619.632	0.0
1390	4307.678	0.0
1166	5006.74	0.0
644	2047.041	0.0
25	95.547	0.0
3735	13596.879	0.0
410	1254.177	0.0
638	2189.279	0.0
828	2941.989	0.0
1678	7084.953	0.0
3031	12583.732	0.0
748	2273.418	0.0
407	1245.192	0.0
378	1055.212	0.0
808	2612.564	0.0
57	177.372	0.0
120	370.736	0.0
34	118.949	0.0
77	258.606	0.0
3679	15349.102	0.0
1145	5128.529	0.0
241	692.189	0.0
782	3079.153	0.0
1186	4826.965	0.0
816	2547.21	0.0
1472	5551.339	0.0
3788	15698.664	0.0
918	3268.27	0.0
1032	4046.445	0.0
1431	4620.105	0.0
3119	10798.061	0.0
116	377.266	0.0
451	1657.517	0.0
4931	19781.371	0.0
70	247.517	0.0
