STEPS	TIME[ms]	ERROR
5	24.496	0.0	
4	20.575	0.0	
6	23.313	0.0	
9	36.754	0.0	
6	26.352	0.0	
5	21.671	0.0	
5	21.602	0.0	
5	21.491	0.0	
8	27.397	0.0	
7	31.037	0.0	
4	20.286	0.0	
5	23.343	0.0	
4	20.859	0.0	
6	24.764	0.0	
7	27.327	0.0	
5	22.419	0.0	
4	29.179	0.0	
6	28.069	0.0	
4	21.399	0.0	
8	27.823	0.0	
5	21.434	0.0	
6	28.828	0.0	
5	22.289	0.0	
4	20.447	0.0	
4	22.054	0.0	
10	37.313	0.0	
4	20.121	0.0	
9	36.549	0.0	
4	20.021	0.0	
5	23.775	0.0	
5	22.362	0.0	
5	26.138	0.0	
4	19.991	0.0	
6	26.625	0.0	
7	40.831	0.0	
5	22.872	0.0	
6	27.719	0.0	
4	30.578	0.0	
11	46.457	0.0	
4	20.18	0.0	
7	27.031	0.0	
6	27.809	0.0	
7	26.553	0.0	
5	21.464	0.0	
5	24.125	0.0	
7	25.62	0.0	
5	21.546	0.0	
5	27.316	0.0	
5	23.034	0.0	
5	22.375	0.0	
4	20.301	0.0	
6	30.442	0.0	
5	21.84	0.0	
6	26.001	0.0	
4	21.583	0.0	
5	21.892	0.0	
9	33.582	0.0	
5	22.22	0.0	
4	19.597	0.0	
4	22.211	0.0	
6	24.882	0.0	
5	22.292	0.0	
6	22.799	0.0	
7	32.364	0.0	
5	21.783	0.0	
5	21.78	0.0	
5	22.062	0.0	
6	24.853	0.0	
6	28.454	0.0	
7	31.713	0.0	
5	24.063	0.0	
4	20.336	0.0	
4	19.418	0.0	
5	25.97	0.0	
6	28.206	0.0	
7	27.014	0.0	
6	22.869	0.0	
8	32.801	0.0	
2	14.973	0.0	
8	32.851	0.0	
4	20.11	0.0	
5	21.626	0.0	
8	33.204	0.0	
7	29.166	0.0	
7	26.866	0.0	
4	19.627	0.0	
7	26.892	0.0	
4	20.179	0.0	
5	49.727	0.0	
10	42.501	0.0	
7	26.227	0.0	
4	19.685	0.0	
7	27.364	0.0	
4	20.561	0.0	
4	26.048	0.0	
8	34.457	0.0	
4	21.786	0.0	
4	20.191	0.0	
4	21.162	0.0	
10	34.799	0.0	
6	25.427	0.0	
7	28.991	0.0	
5	22.348	0.0	
9	30.55	0.0	
7	26.613	0.0	
4	19.399	0.0	
5	23.566	0.0	
7	25.856	0.0	
8	31.757	0.0	
5	21.497	0.0	
6	27.986	0.0	
4	20.987	0.0	
5	22.989	0.0	
4	20.624	0.0	
5	22.07	0.0	
6	27.661	0.0	
4	20.876	0.0	
4	20.729	0.0	
5	21.369	0.0	
4	20.318	0.0	
6	26.215	0.0	
7	27.662	0.0	
5	22.646	0.0	
5	21.718	0.0	
6	26.467	0.0	
4	19.514	0.0	
5	24.238	0.0	
7	42.783	0.0	
4	20.879	0.0	
6	25.781	0.0	
11	50.986	0.0	
5	22.2	0.0	
7	26.978	0.0	
9	36.523	0.0	
7	31.639	0.0	
6	26.881	0.0	
4	28.847	0.0	
6	26.01	0.0	
4	19.761	0.0	
5	22.11	0.0	
10	37.71	0.0	
7	29.955	0.0	
5	22.151	0.0	
5	21.999	0.0	
5	21.517	0.0	
8	27.608	0.0	
6	22.795	0.0	
5	22.503	0.0	
5	21.332	0.0	
4	19.455	0.0	
6	26.529	0.0	
7	26.662	0.0	
9	36.202	0.0	
7	26.67	0.0	
6	22.383	0.0	
7	28.964	0.0	
4	21.459	0.0	
7	35.855	0.0	
5	23.153	0.0	
8	33.233	0.0	
5	21.291	0.0	
5	21.506	0.0	
5	21.482	0.0	
4	24.81	0.0	
6	23.82	0.0	
5	22.742	0.0	
5	22.523	0.0	
7	26.928	0.0	
5	22.251	0.0	
4	20.106	0.0	
5	22.623	0.0	
5	22.475	0.0	
7	29.359	0.0	
6	28.134	0.0	
5	22.689	0.0	
6	26.046	0.0	
6	27.095	0.0	
5	22.383	0.0	
6	28.857	0.0	
5	22.663	0.0	
