STEPS	TIME[ms]	ERROR
15	35.74	0.0
16	18.015	0.0
19	23.744	0.0
20	28.788	0.0
16	21.269	0.0
20	44.254	0.0
20	21.685	0.0
20	29.25	0.0
20	17.889	0.04566810749859049
20	21.811	0.0
20	20.547	0.0
20	24.151	0.0
20	31.05	0.0
17	29.022	0.0
20	18.61	0.0
20	15.443	0.0
20	23.634	0.0
20	19.312	0.0
18	18.874	0.0
20	23.975	0.0
20	17.139	0.0
20	20.613	0.0
20	20.908	0.0
20	27.245	0.0
20	22.045	9.984025559105431e-05
16	22.27	0.0
20	20.557	0.0
20	17.77	0.0
20	27.976	0.0
20	23.58	0.0
20	24.356	0.0
20	16.772	0.0
20	21.333	0.0
16	19.025	0.0
15	27.195	0.009772754032732839
20	14.799	0.0
15	17.597	0.0
20	20.015	0.0
20	22.776	0.0
16	18.588	0.0
20	16.719	0.0042710153368278
20	16.609	0.0
20	19.039	0.0015419407894736842
20	20.91	0.0
20	20.492	0.0
20	21.546	0.0
20	22.611	0.0
20	18.863	0.0
13	25.756	0.0
18	32.211	0.0
16	16.536	0.0
20	23.508	0.0
20	16.653	0.0
15	14.986	0.0
20	19.724	0.0
20	20.614	0.0
18	18.078	0.01911341393206678
19	21.37	0.0
20	18.912	0.0
20	22.453	0.0003756574004507889
20	13.68	0.0
20	17.246	0.0
20	19.649	0.0
20	22.47	0.0
20	20.538	0.0
20	18.254	0.0
20	18.105	0.0
20	16.878	0.0
20	17.743	0.0
14	16.784	0.0
20	19.658	0.0
20	28.156	0.0
20	21.503	0.0
20	19.351	0.0
20	20.047	0.0
18	15.616	0.0
20	19.879	0.019396371540841065
20	21.93	0.0
20	18.985	0.0
17	19.637	0.0
20	22.685	0.0
20	17.403	0.0
20	20.727	0.0
20	17.393	0.08273126505170704
20	19.713	0.0
20	23.298	0.0
18	22.01	0.0
16	18.64	0.0
20	19.166	0.0
13	16.376	0.0
18	20.248	0.0
20	26.616	0.0
20	18.238	0.0
18	20.656	0.0
17	19.031	0.01926561754887935
15	15.919	0.0
20	18.781	0.0
20	21.697	0.0
20	20.669	0.0
13	15.687	0.1181462140992167
20	15.578	0.07249255213505462
20	22.644	0.0
20	18.124	0.0
20	17.608	0.0
20	16.938	0.0
20	19.821	0.0
20	15.701	0.0
17	19.557	0.0
14	16.427	0.0
20	17.01	0.0
15	17.579	0.0
18	20.217	0.0
20	25.93	0.0
19	17.315	0.009549795361527967
20	14.797	0.0
20	20.874	0.0
14	15.557	0.0
20	19.815	0.0
20	25.577	0.0
20	18.943	0.0077056443845116545
20	17.395	0.0
20	15.39	0.1163278138754978
17	55.228	0.0
20	32.655	0.0
20	19.815	0.0
20	23.619	0.0
20	16.848	0.0
18	20.237	0.0
20	22.449	0.0
20	20.03	0.0
20	22.497	0.0
17	18.562	0.0
20	16.891	0.0
19	21.991	0.0
20	27.954	0.0
20	18.427	0.0
20	16.923	0.0
20	15.887	0.0
15	17.862	0.0
18	19.78	0.0
20	16.461	0.0
20	38.071	0.0
16	16.766	0.0
20	19.889	0.0
20	17.971	0.0
20	17.166	0.0
18	20.568	0.0
20	19.012	0.0
20	20.332	0.0
20	20.086	0.0
20	14.996	0.0
20	16.351	0.0
15	18.102	0.017290736287644565
18	17.28	0.0
20	24.086	0.0
17	17.33	0.027822364901016586
17	19.71	0.0
20	17.74	0.0
20	21.182	0.0
20	22.33	0.0
20	22.233	0.0
20	18.551	0.0
20	16.611	0.0
18	16.449	0.0
20	23.527	0.0
20	20.987	0.0
20	15.698	0.0
18	20.232	0.0
17	18.754	0.0
20	22.706	0.0
16	18.429	0.0
17	19.152	0.0
20	15.849	0.0
20	16.537	0.0
20	20.858	0.0
17	19.209	0.05386479935362241
14	16.959	0.0
20	22.344	0.0
20	18.288	0.0
20	21.723	0.0
20	18.513	0.0
20	23.715	0.0
20	17.43	0.017820140903439703
20	22.595	0.0
20	18.59	0.0
20	19.683	0.0
20	17.389	0.0
20	18.308	0.0
